Харківська,Зачепилівський,АБАЗІВКА,35.33529,49.25016
Полтавська,Полтавський,АБАЗІВКА,34.34910,49.60653
Київська,Вишгородський,АБРАМІВКА,30.09035,50.74860
Полтавська,Машівський,АБРАМІВКА,34.96330,49.33084
Вінницька,Чернівецький,АБРАМІВСЬКА ДОЛИНА,28.10577,48.51665
Житомирська,Новоград-Волинський,АБРАМОК,27.90768,50.63684
Закарпатська,Воловецький,АБРАНКА,23.10150,48.73501
Хмельницька,Кам'янець-подільський,АБРИКОСІВКА,26.71051,48.71853
Крим,Сакський,АБРИКОСІВКА,33.18729,45.26985
Крим,Кіровський,АБРИКОСІВКА,35.10132,45.10900
Херсонська,Цюрупинський,АБРИКОСІВКА,33.07125,46.48813
Запорізька,Михайлівський,АБРИКОСІВКА,35.37443,47.30146
Одеська,Білгород-дністровський,АБРИКОСОВЕ,30.29514,46.11666
Крим,Первомайський,АБРИКОСОВЕ,34.10173,45.69179
Дніпропетровська,м Кривий Ріг,АВАНГАРД,33.31604,48.00957
Запорізька,Веселівський,АВАНГАРД,34.76400,46.91316
Дніпропетровська,П'ятихатський,АВАНГАРД,33.68683,48.44885
Запорізька,Запорізький,АВГУСТИНІВКА,35.03334,48.03755
Одеська,Біляївський,АВГУСТІВКА,30.64825,46.63988
Тернопільська,Козівський,АВГУСТІВКА,25.09518,49.58593
Чернігівська,Ічнянський,АВГУСТІВКА,32.36555,50.78396
Донецька,м Авдіївка,АВДІЇВКА,37.72602,48.15445
Чернігівська,Куликівський,АВДІЇВКА,31.67633,51.47764
Чернігівська,Сосницький,АВДІЇВКА,32.78389,51.77719
Дніпропетровська,Софіївський,АВДОТІВКА,33.69232,47.96631
Одеська,Білгород-дністровський,АВИДІВКА,30.20657,46.03872
Донецька,м Єнакіїве,АВІЛОВКА,38.17474,48.19771
Дніпропетровська,Верхньодніпровський,АВКСЕНІВКА,34.24078,48.56815
Сумська,Роменський,АВРАМЕНКОВЕ,33.38007,50.91322
Дніпропетровська,Васильківський,АВРАМІВКА,35.85268,48.18603
Кіровоградська,Кіровоградський,АВРАМІВКА,32.06686,48.70170
Сумська,Охтирський,АВРАМКІВЩИНА,34.55389,50.25043
Хмельницька,Волочиський,АВРАТИН,26.29784,49.67502
